	location_id	location_name
327	4571	Meldon Quarry, Okehampton Hamlets, West Devon, Devon, England, UK
328	12783	Condorcet, Drôme, Auvergne-Rhône-Alpes, France
329	4592	Teller Co., Colorado, USA
330	2131	Acireale, Etna Volcanic Complex, Catania Province, Sicily, Italy
331	4596	Cape Calamita Mine, Capoliveri, Elba Island, Livorno Province, Tuscany, Italy
332	23294	Sasso Cinturino, Villa Collemandina, Garfagnana, Lucca Province, Tuscany, Italy
333	506	Thompson Mine, Moab-Setting Lakes area, Thompson Nickel Belt, Manitoba, Canada
334	13825	Anna Mine, Alsdorf, Aachen, North Rhine-Westphalia, Germany
335	8702	Camp Bird Mine, Camp Bird, Sneffels District, Ouray, Ouray District, San Juan Mts, Ouray Co., Colorado, USA
336	16896	Delaware Co., Pennsylvania, USA
337	15104	Borisovskie Sopki, Plast, Plastovsky District, Chelyabinsk Oblast, Russia
338	514	Nanisivik Mine, Nanisivik, Baffin Island, Nunavut, Canada
339	4611	Pure Potential Mine, Silver District, Trigo Mts, La Paz Co., Arizona, USA
340	4612	Berbes, Berbes Mining area, Ribadesella, Asturias, Spain
341	4613	Deer Hill Locality, Deer Hill, Stow, Oxford Co., Maine, USA
342	4614	Seabra, Bahia, Brazil
343	4615	Resplendor, Minas Gerais, Brazil
344	4616	Cobalt Lake Mine, Coleman Township, Cobalt area, Cobalt-Gowganda region, Timiskaming District, Ontario, Canada
345	521	Cape Blomidon, Bay of Fundy, Kings Co., Nova Scotia, Canada
346	4618	Malone quarries, Marmora Township, Hastings Co., Ontario, Canada
347	2135	Monteponi Mine, Iglesias, Carbonia-Iglesias Province, Sardinia, Italy
348	16908	Yuzhna Petrovitza deposit, Borieva Mine, Madan ore field, Smolyan Province, Bulgaria
349	4621	Eonyang, South Gyeongsang Province, South Korea
350	4622	Ranger Mine, Kakadu, West Arnhem Region, Northern Territory, Australia
351	4623	West Camp, Santa Eulalia District, Aquiles Serdán Municipality, Chihuahua, Mexico
352	4624	Jalgaon District, Maharashtra, India
