,mineral_id,mineral_name
424,653,Beusite
425,2702,Miargyrite
426,10349,Redgillite
427,2704,Microcline
428,2705,Microlite Group
429,39572,Jahnsite Group
430,3182,Phosphuranylite
431,2710,Milarite
432,2711,Millerite
433,2712,Millisite
434,2713,Millosevichite
435,2714,Mimetite
436,667,Bismutoferrite
437,670,Bikitaite
438,8864,Hubeite
439,2721,Minium
440,2723,Minrecordite
441,676,Bindheimite
442,677,Biotite
443,680,Birnessite
444,3868,Taenite
445,2730,Mixite
446,684,Bismuth
447,686,Bismuthinite
448,687,Bismutite
449,5576,Kidney Ore
450,691,Bixbyite
451,2740,Mohawkite
452,694,Blatterite
453,695,Blödite
454,10936,Garnierite
455,11380,Ca-bearing Pyromorphite
456,698,Blue John
457,49852,IAB-MG iron meteorite
458,6845,Caoxite
459,2750,Monazite
460,2751,Monazite-(Ce)
461,6848,Caresite
462,2754,Moncheite
463,2756,Mongolite
464,6854,Chabazite-Ca
465,4388,Zaratite
466,712,Boleite
467,2274,Krennerite
468,2763,Montebrasite
469,716,Boltwoodite
470,2767,Montgomeryite
471,43669,Correianevesite
472,3192,Phillipsite
473,4428,Znucalite
474,6867,Chevkinite-(Ce)
475,4260,Weinebeneite
476,1145,Cowlesite
477,1047,Churchite-(Y)
478,27428,Hydrokenoelsmoreite
479,2778,Moraesite
480,2779,Mordenite
481,732,Botallackite
482,2783,Morganite
483,738,Boulangerite
484,1147,Crandallite
485,741,Bournonite
486,2790,Mosesite
487,2513,Macphersonite
488,10984,Sunstone
489,2793,Motukoreaite
490,2796,Mountkeithite
491,8658,Fayalite-Forsterite Series
492,751,Braggite
493,753,Brandtite
494,754,Brannerite
495,29139,Fluorophlogopite
496,8949,Diopside-Hedenbergite Series
497,2806,Mullite
498,809,Bustamite
499,760,Brazilianite
500,8954,Herderite-Hydroxylherderite Series
501,2812,Murdochite
502,2813,Murmanite
503,766,Brewsterite
504,2815,Muscovite
505,811,Buttgenbachite
506,6916,Erionite-K
507,2821,Montmorillonite
508,8971,Clinozoisite-Epidote Series
509,2830,Nagyágite
510,813,Bystrite
511,784,Bromellite
512,2520,Columbite-(Mn)
513,787,Brookite
514,2836,Namibite
515,2837,Namuwite
516,11032,Gladiusite
517,2841,Narsarsukite
518,11036,Manganoan Gahnite
519,11037,Palladian Gold
520,798,Bukovskýite
521,2847,Natanite
522,4391,Zellerite
523,2851,Fluorapophyllite-(Na)
524,6948,Fluorcaphite
525,2853,Natrochalcite
526,2854,Natrodufrénite
527,1186,Cuproiridsite
528,6952,Fluoro-richterite
529,11620,Baryte Rose
530,3573,Schoenfliesite
531,818,Fluor-buergerite
532,6958,Frankhawthorneite
533,27439,Pumpellyite-(Al)
534,2865,Naujakasite
535,3846,Sweetite
536,819,Beryl
537,820,Brucite
538,478,Babingtonite
539,10377,Pumpellyite-(Fe)
540,1844,Hedyphane
541,2235,Koechlinite
542,852,Calaverite
543,831,Calciohilairite
544,2880,Nepheline
545,480,Baddeleyite
546,139,Allophane
547,6981,Grumiplucite
548,840,Cacoxenite
549,46220,Allanite Group
550,6986,Hechtsbergite
551,6988,Heulandite-Ca
552,849,Cafarsite
553,2898,Nickelzippeite
554,2900,Nickenichite
555,2901,Nickeline
556,855,Calcioancylite-(Ce)
557,3556,Schalenblende
558,11135,Serpentine Subgroup
559,859,Calcite
560,7016,Scainiite
561,863,Calcurmolite
562,865,Caledonite
563,11106,Hexagonite
564,868,Callaghanite
565,1124,Copiapite
566,779,Brochantite
567,4330,Xanthoconite
568,7020,Mallestigite
569,146,Alstonite
570,4311,Woodhouseite
571,11119,Smectite Group
572,880,Cancrinite
573,7026,Zálesíite
574,2932,Normandite
575,3902,Teineite
576,886,Capgaronnite
577,888,Capped Quartz
578,3220,Pirssonite
579,1257,Delvauxite
580,892,Carbocernaite
581,895,Carbonate-rich Fluorapatite
582,2737,Moctezumite
583,1547,Fiedlerite
584,2947,Natrolite
585,900,Carlhintzeite
586,3222,Pitchblende
587,2950,Oakstone
588,3905,Tellurite
589,904,Carlsbergite
590,905,Carminite
591,3223,Pitiglianoite
592,909,Carpholite
593,911,Carrollite
594,7056,Orlandiite
595,913,Caryopilite
596,2883,Neptunite
597,917,Cassiterite
598,2966,Okanoganite-(Y)
599,2967,Okenite
600,1629,Gagarinite-(Y)
601,921,Cavansite
602,2543,Magnussonite
603,2972,Olenite
604,4250,Wavellite
605,926,Celadonite
606,927,Celestine
607,2976,Oligoclase
608,931,Cerite-(Ce)
609,933,Ceruleite
610,934,Cerussite
611,935,Cervandonite-(Ce)
612,936,Cervantite
613,943,Cetineite
614,7088,Adamsite-(Y)
615,2202,Kidwellite
616,946,Chlorophoenicite
617,947,Chalcophanite
618,11188,Cronusite
619,949,Chalcomenite
620,7095,Cobalttsumcorite
621,953,Chloroxiphite
622,955,Chalcopyrite
623,3004,Opal
624,2053,Isoferroplatinum
625,959,Chalcanthite
626,960,Chalcedony
627,961,Chalcoalumite
628,962,Chalcocite
629,1123,Cooperite
630,967,Chamosite
631,9160,Hokutolite
632,7115,Isovite
633,2760,Montanite
634,3021,Orpiment
635,975,Chrysotile
636,977,Chalcotrichite
637,3026,Orthoclase
638,979,Chalcophyllite
639,7125,Julgoldite-(Fe3+)
640,7126,Juonniite
641,983,Chalcostibite
642,3306,Pucherite
643,987,Chenite
644,3037,Osmium
645,990,Cherepanovite
646,992,Chernovite-(Y)
647,3920,Tetra-auricupride
648,994,Chert
649,995,Chervetite
650,7140,Koragoite
651,7141,Korobitsynite
652,1001,Chiastolite
653,7146,Kukharenkoite-(Ce)
654,1003,Childrenite
655,31727,Munakataite
656,7153,Lesukite
657,1014,Chlorargyrite
658,1193,Cuprostibite
659,1016,Chlorite Group
660,1017,Chloritoid
661,7162,Magnesio-foitite
662,2559,Manandonite
663,7165,Mahnertite
664,3072,Palygorskite
665,3073,Panasqueiraite
666,1027,Chondrodite
667,5125,Cerasite (of Kikuchi)
668,513,Barberiite
669,1032,Chrome-Cerussite
670,1033,Chromian Diopside
671,3082,Paracelsian
672,6999,Horváthite-(Y)
673,1037,Chromium
674,1039,Chrysoberyl
675,1040,Chrysocolla
676,1539,Fersmite
677,2699,Meyerhofferite
678,7190,Nežilovite
679,7191,Nickelphosphide
680,3096,Paralaurionite
681,1052,Cinnabar
682,1054,Citrine
683,1055,Clinoclase
684,1399,Erionite
685,1060,Claudetite
686,1542,Fetiasite
687,53425,Pecos Diamonds
688,1064,Cliffordite
689,1065,Clinoatacamite
690,3115,Paratacamite
691,3116,Paratellurite
692,3377,Rectorite
693,1070,Clinochlore
694,3119,Pargasite
695,3120,Parisite-(Ce)
696,1544,Fibroferrite
697,7218,Paulingite-Ca
698,3124,Parnauite
699,1077,Clinohumite
700,7072,Tegengrenite
701,7348,Utahite
702,3130,Pascoite
703,7007,Ilinskite
704,7228,Phillipsite-K
705,7229,Phillipsite-Na
706,1087,Clinozoisite
707,1088,Clintonite
708,1059,Clarkeite
709,1091,Cobaltkoritnigite
710,1093,Cobaltite
711,1094,Cobaltoan Calcite
712,7265,Quintinite
713,3596,Scorzalite
714,3146,Penfieldite
715,1099,Cobaltaustinite
716,1100,Coccinite
717,9294,Decrespignyite-(Y)
718,1103,Coeruleolactite
719,3152,Pentagonite
720,1105,Cobaltoan Dolomite
721,7129,Kastningite
722,3155,Pentlandite
723,1108,Colemanite
724,3159,Peretaite
725,3161,Periclase
726,1114,Comancheite
727,11356,Greifensteinite
728,1117,Compreignacite
729,3166,Perovskite
730,1119,Conichalcite
731,1120,Connellite
732,1121,Cookeite
733,3171,Petalite
734,651,Betpakdalite-CaCa
735,1125,Coquandite
736,26770,Iron Rose
737,1127,Corderoite
738,1128,Cordierite
739,1129,Cordylite-(Ce)
740,1131,Cornetite
741,1132,Cornubite
742,1133,Cornwallite
743,1134,Coronadite
744,1136,Corundum
745,3185,Pharmacosiderite
746,3187,Phosphosiderite
747,3188,Phenakite
748,1141,Cotunnite
749,3190,Philipsbornite
750,3191,Philipsburgite
751,1144,Covellite
752,3193,Phlogopite
753,3194,Phoenicochroite
754,3195,Phosgenite
755,1402,Ernienickelite
756,1150,Crednerite
757,1151,Creedite
758,3107,Pararealgar
759,7298,Smolyaninovite
760,1155,Cristobalite
761,3204,Pickeringite
762,1157,Crocoite
763,1158,Cronstedtite
764,7361,Wallkilldellite-(Fe)
765,3208,Piemontite
766,1161,Cryolite
767,1948,Hummerite
768,1163,Cryptohalite
769,1164,Cryptomelane
770,1168,Cubanite
771,7313,Stilbite-Ca
772,1172,Cuprite
773,1174,Cuprian Adamite
774,44183,Barian magnetoplumbite
775,879,Canavesite
776,7325,Tainiolite
777,3231,Albite-Anorthite Series
778,3233,Plancheite
779,3234,Planerite
780,3236,Platinum
781,3237,Plattnerite
782,1191,Cuprosklodowskite
783,1949,Hunchunite
784,3241,Plumbomicrolite (of Hogarth 1977)
785,1194,Cuprotungstite
786,1198,Cuspidine
787,3247,Plumbogummite
788,7345,Turkestanite
789,1203,Cyanotrichite
790,1204,Cylindrite
791,7710,Peridot
792,1206,Cyrilovite
793,3255,Pollucite
794,3256,Polybasite
795,1209,Copper
796,3260,Polylithionite
797,2573,Margarite
798,3265,Posnjakite
799,1218,Danburite
800,3270,Pottsite
801,545,Barylite
802,3273,Poughite
803,3275,Powellite
804,3277,Prehnite
805,3278,Preisingerite
806,9424,Bitumen
807,2936,Nosean
808,3619,Senegalite
809,1237,Davreuxite
810,3287,Prosopite
811,1240,Dawsonite
812,3289,Protasite
813,2354,Lazarenkoite
